Ontology ID	 Label NCBI	Label FoodOn	NCBI parent ID	Ontology Alternative Term	Exact Synonym (FoodOn)	See Also	FDA Common Name [after changes]	FDA SFL Common Name	FDA Acceptable Market Name(s) [after changes]	FDA SFL Acceptable Market Name	NCBI Genbank Common Name [after changes]	ITIS (TSN)	FDA Alternative Term [original]	FDA Acceptable Market Name(s) [original]	NCBI Genbank Common Name [original]	FDA law	NCBI Synonym	terms source | term requested	"term editor	"
NCBITaxon:64108	Zeus faber					https://en.wikipedia.org/wiki/John_Dory	john dory	FDA SFL Common Name	dory	FDA SFL Acceptable Market Name		ITIS:166287	john dory	dory	john dory			FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:302047	Seriola lalandi					https://en.wikipedia.org/wiki/Yellowtail_amberjack	yellowtail	FDA SFL Common Name	amberjack | yellowtail	FDA SFL Acceptable Market Name	yellowtail amberjack	ITIS:168695	yellowtail	amberjack or yellowtail	yellowtail amberjack		Seriola aureovittata | Seriola lalandei	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:40499	Ocyurus chrysurus					https://en.wikipedia.org/wiki/Yellowtail_snapper	yellowtail snapper	FDA SFL Common Name	snapper	FDA SFL Acceptable Market Name		ITIS:168907	yellowtail snapper	snapper			Sparus chrysurus	FDA Seafood List 2021 | Genome Tracker	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:8236	Thunnus albacares					https://en.wikipedia.org/wiki/Yellowfin_tuna	yellowfin tuna	FDA SFL Common Name	tuna 	FDA SFL Acceptable Market Name		ITIS:172423	yellowfin tuna	tuna (*)	yellowfin tuna		Neothunnus macropterus | Scomber albacares	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:8258	Limanda ferruginea					https://en.wikipedia.org/wiki/Yellowtail_flounder	yellowtail flounder	FDA SFL Common Name	flounder | sole	FDA SFL Acceptable Market Name		ITIS:172909	yellowtail flounder	flounder or sole	yellowtail flounder		Platessa ferruginea | Limanda ferruginea | Pleuronectes ferruginea | Pleuronectes ferrugineus	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:72076	Sebastes flavidus					https://en.wikipedia.org/wiki/Yellowtail_rockfish	yellowtail rockfish	FDA SFL Common Name	rockfish	FDA SFL Acceptable Market Name		ITIS:166720	yellowtail rockfish	rockfish	yellowtain rockfish		Sebastodes flavidus	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:334908	Larimichthys polyactis					https://en.wikipedia.org/wiki/Larimichthys_polyactis	redlip croaker	FDA SFL Common Name	croaker	FDA SFL Acceptable Market Name	yellow croaker	ITIS:646548	redlip croaker	croaker	yellow croaker		Pseudosciaena polyactis	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:8245	Xiphias gladius					https://en.wikipedia.org/wiki/Swordfish	swordfish	FDA SFL Common Name	swordfish	FDA SFL Acceptable Market Name		ITIS:172482	swordfish	swordfish	swordfish			FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:1042646	Gadus chalcogrammus					https://en.wikipedia.org/wiki/Alaska_pollock	walleye pollock	FDA SFL Common Name	pollock	FDA SFL Acceptable Market Name		ITIS:934083	walleye pollock	pollock	walleye pollock		Theragra chalcogramma | Theragra finnmarchica | Theragra chalcogramma finnmarchica	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:34819	Glyptocephalus cynoglossus					https://en.wikipedia.org/wiki/Witch_(righteye_flounder)	witch flounder	FDA SFL Common Name	gray sole | sole | flounder	FDA SFL Acceptable Market Name	witch	ITIS:172873	witch flounder	gray sole or sole or flounder	witch		Pleuronectes cynoglossus	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
