?class	?label	?syn_type
<http://purl.obolibrary.org/obo/GAZ_00006905>	"Palau"	"label"
<http://purl.obolibrary.org/obo/GAZ_00006905>	"palau"@en	"alternative term"
<http://purl.obolibrary.org/obo/GAZ_00006906>	"Saint Kitts-Nevis"	"label"
<http://purl.obolibrary.org/obo/GAZ_00006906>	"nevis island"@en	"synonym"
<http://purl.obolibrary.org/obo/GAZ_00006906>	"saint kitts and nevis"@en	"alternative term"
<http://purl.obolibrary.org/obo/GAZ_00006909>	"Saint Lucia"	"label"
<http://purl.obolibrary.org/obo/GAZ_00006909>	"saint lucia"@en	"alternative term"
<http://purl.obolibrary.org/obo/GAZ_00006910>	"Samoa"	"label"
<http://purl.obolibrary.org/obo/GAZ_00006910>	"samoa, western"@en	"synonym"
<http://purl.obolibrary.org/obo/GAZ_00006910>	"western samoa"@en	"alternative term"
<http://purl.obolibrary.org/obo/GAZ_00006912>	"Tajikistan"	"label"
<http://purl.obolibrary.org/obo/GAZ_00006912>	"tadjikistan"@en	"alternative term"
<http://purl.obolibrary.org/obo/GAZ_00006912>	"tadzhikistan"@en	"synonym"
<http://purl.obolibrary.org/obo/GAZ_00006913>	"Timor-Leste"	"label"
<http://purl.obolibrary.org/obo/GAZ_00006913>	"east timor"@en	"alternative term"
<http://purl.obolibrary.org/obo/GAZ_00006916>	"Tonga"	"label"
<http://purl.obolibrary.org/obo/GAZ_00006916>	"tonga"@en	"alternative term"
<http://purl.obolibrary.org/obo/GAZ_00006918>	"Vanuatu"	"label"
<http://purl.obolibrary.org/obo/GAZ_00006918>	"new hebrides"@en	"synonym"
<http://purl.obolibrary.org/obo/GAZ_00006918>	"vanuatu"@en	"alternative term"
<http://purl.obolibrary.org/obo/GAZ_00006922>	"The Seychelles"	"label"
<http://purl.obolibrary.org/obo/GAZ_00006922>	"seychelles"@en	"alternative term"
<http://purl.obolibrary.org/obo/GAZ_00006924>	"Maldives Archipelago"	"label"
<http://purl.obolibrary.org/obo/GAZ_00006924>	"maldives"@en	"alternative term"
<http://purl.obolibrary.org/obo/GAZ_00006927>	"Sao Tome and Principe"	"label"
<http://purl.obolibrary.org/obo/GAZ_00006927>	"principe"@en	"synonym"
<http://purl.obolibrary.org/obo/GAZ_00006927>	"sao tome and principe"@en	"alternative term"
<http://purl.obolibrary.org/obo/GAZ_00006935>	"Commonwealth of Puerto Rico"	"label"
<http://purl.obolibrary.org/obo/GAZ_00006935>	"puerto rico"@en	"alternative term"
<http://purl.obolibrary.org/obo/GAZ_00007113>	"United States Minor Outlying Islands"	"label"
<http://purl.obolibrary.org/obo/GAZ_00007113>	"united states minor outlying islands"@en	"alternative term"
<http://purl.obolibrary.org/obo/GAZ_00007161>	"Marshall Islands"	"label"
<http://purl.obolibrary.org/obo/GAZ_00007161>	"marshall islands"@en	"alternative term"
<http://purl.obolibrary.org/obo/GAZ_00007187>	"pitcairn island"@en	"alternative term"
<http://purl.obolibrary.org/obo/GAZ_00007192>	"Wallis and Futuna islands"	"label"
<http://purl.obolibrary.org/obo/GAZ_00007192>	"futuna islands"@en	"synonym"
<http://purl.obolibrary.org/obo/GAZ_00007192>	"wallis and futuna islands"@en	"alternative term"
<http://purl.obolibrary.org/obo/GAZ_00008744>	"Mongolia"	"label"
<http://purl.obolibrary.org/obo/GAZ_00008744>	"mongolia"@en	"alternative term"
<http://purl.obolibrary.org/obo/GAZ_00009159>	"Anguilla"	"label"
<http://purl.obolibrary.org/obo/GAZ_00009159>	"anguilla"@en	"alternative term"
<http://purl.obolibrary.org/obo/GAZ_00009571>	"Gaza Strip"	"label"
<http://purl.obolibrary.org/obo/GAZ_00009571>	"gaza strip"@en	"alternative term"
<http://purl.obolibrary.org/obo/GAZ_00009572>	"West Bank"	"label"
<http://purl.obolibrary.org/obo/GAZ_00009715>	"Tuvalu"	"label"
<http://purl.obolibrary.org/obo/GAZ_00009715>	"ellice islands"@en	"synonym"
<http://purl.obolibrary.org/obo/GAZ_00009715>	"tuvalu"@en	"alternative term"
<http://purl.obolibrary.org/obo/GAZ_00009718>	"Heard and McDonald islands"	"label"
<http://purl.obolibrary.org/obo/GAZ_00009718>	"heard and mcdonald islands"@en	"alternative term"
<http://purl.obolibrary.org/obo/GAZ_00009718>	"mcdonald islands"@en	"synonym"
<http://purl.obolibrary.org/obo/GAZ_00011337>	"Kosovo"	"label"
<http://purl.obolibrary.org/obo/GAZ_00011337>	"kosovo"@en	"alternative term"
<http://purl.obolibrary.org/obo/GAZ_00017678>	"jan mayen island"@en	"synonym"
<http://purl.obolibrary.org/obo/GAZ_00017678>	"svalbard and jan mayen islands"@en	"alternative term"
<http://purl.obolibrary.org/obo/GAZ_00024383>	"Java"	"label"
<http://purl.obolibrary.org/obo/GAZ_00024383>	"java"@en	"alternative term"
<http://purl.obolibrary.org/obo/GAZ_00024432>	"Sumatra"	"label"
<http://purl.obolibrary.org/obo/GAZ_00024432>	"sumatra"@en	"alternative term"
<http://purl.obolibrary.org/obo/GAZ_00024553>	"Sulawesi"	"label"
<http://purl.obolibrary.org/obo/GAZ_00024553>	"sulawesi"@en	"alternative term"
<http://purl.obolibrary.org/obo/GAZ_00025355>	"Borneo"	"label"
<http://purl.obolibrary.org/obo/GAZ_00025355>	"borneo"@en	"alternative term"
<http://purl.obolibrary.org/obo/GAZ_00052663>	"[Former] Yugoslavia"	"label"
<http://purl.obolibrary.org/obo/GAZ_00052663>	"yugoslavia"@en	"alternative term"
<http://purl.obolibrary.org/obo/GAZ_00053798>	"Cook Islands"	"label"
<http://purl.obolibrary.org/obo/GAZ_00053798>	"cook islands"@en	"alternative term"
<http://purl.obolibrary.org/obo/GAZ_00056925>	"Malay Peninsula"	"label"
<http://purl.obolibrary.org/obo/GAZ_00056925>	"malawi"@en	"alternative term"
<http://purl.obolibrary.org/obo/GAZ_00059206>	"Faroe Islands"	"label"
<http://purl.obolibrary.org/obo/GAZ_00059206>	"faeroe islands"@en	"synonym"
<http://purl.obolibrary.org/obo/GAZ_00059206>	"faroe islands"@en	"alternative term"
<http://purl.obolibrary.org/obo/GAZ_00067142>	"Guadeloupe Region"	"label"
<http://purl.obolibrary.org/obo/GAZ_00067142>	"guadeloupe"@en	"alternative term"
<http://purl.obolibrary.org/obo/GAZ_00067143>	"Martinique Region"	"label"
<http://purl.obolibrary.org/obo/GAZ_00067143>	"martinique"@en	"alternative term"
<http://purl.obolibrary.org/obo/GAZ_00233439>	"South Sudan"	"label"
<http://purl.obolibrary.org/obo/GAZ_00233439>	"saint helena island"@en	"synonym"
<http://purl.obolibrary.org/obo/GAZ_00233439>	"st. helena"@en	"alternative term"
<http://purl.obolibrary.org/obo/GAZ_00260188>	"Tokelau"	"label"
<http://purl.obolibrary.org/obo/GAZ_00260188>	"tokelau"@en	"alternative term"
<http://purl.obolibrary.org/obo/GAZ_01000048>	"Caribbean Region"	"label"
<http://purl.obolibrary.org/obo/GAZ_01000048>	"caribbean islands"@en	"alternative term"
<http://purl.obolibrary.org/obo/GAZ_02000565>	"Saint Vincent and the Grenadines"	"label"
<http://purl.obolibrary.org/obo/GAZ_02000565>	"grenadine islands"@en	"synonym"
<http://purl.obolibrary.org/obo/GAZ_02000565>	"saint vincent and the grenadines"@en	"alternative term"
<http://purl.obolibrary.org/obo/GAZ_02000573>	"Grenada"	"label"
<http://purl.obolibrary.org/obo/GAZ_02000573>	"grenada"@en	"alternative term"
<http://purl.obolibrary.org/obo/GAZ_02000610>	"Papua Province"	"label"
<http://purl.obolibrary.org/obo/GAZ_02000610>	"irian jaya"@en	"alternative term"
<http://purl.obolibrary.org/obo/GENEPIO_0000106>	"draft data standard"@en	"label"
<http://purl.obolibrary.org/obo/GENEPIO_0001342>	"data standard component"@en	"label"
<http://purl.obolibrary.org/obo/GENEPIO_0002031>	"ordinal tree specification"@en	"label"
<http://purl.obolibrary.org/obo/GO_0006091>	"generation of precursor metabolites and energy"	"label"
<http://purl.obolibrary.org/obo/GO_0007610>	"behavior"	"label"
<http://purl.obolibrary.org/obo/GO_0007631>	"feeding behavior"	"label"
<http://purl.obolibrary.org/obo/GO_0008150>	"biological_process"	"label"
<http://purl.obolibrary.org/obo/GO_0008152>	"metabolic process"	"label"
<http://purl.obolibrary.org/obo/GO_0009987>	"cellular process"	"label"
<http://purl.obolibrary.org/obo/GO_0015979>	"photosynthesis"	"label"
<http://purl.obolibrary.org/obo/GO_0015980>	"energy derivation by oxidation of organic compounds"	"label"
<http://purl.obolibrary.org/obo/GO_0042755>	"eating behavior"	"label"
<http://purl.obolibrary.org/obo/GO_0042756>	"drinking behavior"	"label"
<http://purl.obolibrary.org/obo/GO_0044237>	"cellular metabolic process"	"label"
<http://purl.obolibrary.org/obo/GO_0045333>	"cellular respiration"	"label"
<http://purl.obolibrary.org/obo/GO_0055114>	"oxidation-reduction process"	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0004>	"ancestral group"	"exact synonym"
<http://purl.obolibrary.org/obo/HANCESTRO_0004>	"ancestry category"	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0005>	"Caucasian"	"exact synonym"
<http://purl.obolibrary.org/obo/HANCESTRO_0005>	"European"	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0005>	"white"	"exact synonym"
<http://purl.obolibrary.org/obo/HANCESTRO_0006>	"South Asian"	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0007>	"South East Asian"	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0008>	"Asian"	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0008>	"Asian unspecified"	"exact synonym"
<http://purl.obolibrary.org/obo/HANCESTRO_0009>	"East Asian"	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0010>	"African"	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0010>	"African unspecified"@en	"exact synonym"
<http://purl.obolibrary.org/obo/HANCESTRO_0011>	"Sub-Saharan African"	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0013>	"American Indian"	"exact synonym"
<http://purl.obolibrary.org/obo/HANCESTRO_0013>	"Native American"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0014>	"Hispanic or Latin American"	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0015>	"Greater Middle Eastern  (Middle Eastern, North African or Persian)"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0015>	"Middle Eastern/North African"	"exact synonym"
<http://purl.obolibrary.org/obo/HANCESTRO_0016>	"African American or Afro-Caribbean"	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0017>	"Oceanian"	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0018>	"uncategorised population"	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0019>	"Japanese"	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0020>	"Taiwanese"	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0020>	"non-aboriginal Taiwanese"	"exact synonym"
<http://purl.obolibrary.org/obo/HANCESTRO_0021>	"Chinese"	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0022>	"Korean"	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0023>	"Mongolian"	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0024>	"Macanese"	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0025>	"Singaporean Chinese"	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0026>	"Hong Kong Chinese"	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0027>	"Han Chinese"	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0286>	"Central Asian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0290>	"founder population"	"exact synonym"
<http://purl.obolibrary.org/obo/HANCESTRO_0290>	"genetically isolated population"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0290>	"population isolate"	"exact synonym"
<http://purl.obolibrary.org/obo/HANCESTRO_0307>	"Italian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0309>	"Sardinian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0310>	"Val Borbera"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0311>	"Friuli Venezia Giulia"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0312>	"Carlantino"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0313>	"Old Order Amish"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0314>	"Sorbian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0315>	"Hutterite"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0316>	"Amish"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0317>	"Erasmus Rucphen"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0318>	"Orcadian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0319>	"Korculan"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0320>	"Dutch"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0321>	"Finnish"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0322>	"Finnish founder"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0323>	"Dutch founder"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0324>	"Ashkenazi Jew"	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0331>	"Sudanese"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0332>	"Sahrawi"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0333>	"Anguillan"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0334>	"Antiguan or Barbudan"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0335>	"Barbadian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0336>	"Haitian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0337>	"Jamaican"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0338>	"Tajikistani"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0339>	"Turkmen"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0340>	"Uzbekistani"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0341>	"Afghan"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0342>	"Kazakhstani"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0343>	"Kyrgyzstani"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0344>	"Albanian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0345>	"Andorran"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0346>	"Australian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0347>	"Austrian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0348>	"Belarusian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0349>	"Belgian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0350>	"Bermudian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0351>	"Bosnian or Herzegovinian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0352>	"Brazilian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0353>	"Bulgarian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0354>	"Canadian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0355>	"Channel Islander"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0356>	"Chilean"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0357>	"Croatian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0358>	"Czech"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0359>	"Danish"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0360>	"Estonian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0361>	"Faroese"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0362>	"Falkland Islander"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0363>	"French"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0364>	"German"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0365>	"Gibraltarian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0366>	"Greek"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0367>	"Greenlander"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0368>	"Hungrian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0369>	"Icelandic"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0370>	"Manx"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0371>	"Latvian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0372>	"Liechtensteiner"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0373>	"Lithuanian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0374>	"Luxembourgish"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0375>	"Maltese"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0376>	"Monegasque"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0377>	"Montenegrin"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0378>	"New Zealandish"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0379>	"Norfolk Islander"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0380>	"Norwegian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0381>	"Polish"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0382>	"Portugese"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0383>	"Irish"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0384>	"Moldovan"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0385>	"Romanian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0386>	"Russian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0387>	"Saint-Pierrais or Miquelonnais"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0388>	"Sammarinese"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0389>	"Serb"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0390>	"Slovak"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0391>	"Slovene"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0392>	"Spanish"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0393>	"Swedish"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0394>	"Swiss"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0395>	"Macedonian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0396>	"Ukrainian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0397>	"Argentine"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0398>	"Bahamian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0399>	"Belizean"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0400>	"Bolivian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0401>	"British Virgin Islander"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0402>	"Caymanian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0403>	"Colombian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0404>	"Costa Rican"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0405>	"Cuban"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0406>	"Dominican"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0407>	"Ecuadorian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0408>	"Salvadoran"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0409>	"French Guianese"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0410>	"Grenadian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0411>	"Guatemalan"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0412>	"Guyanese"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0413>	"Honduran"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0414>	"Martinican"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0415>	"Mexican"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0416>	"Montserratian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0417>	"Nicaraguan"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0418>	"Panamanian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0419>	"Paraguayan"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0420>	"Peruvian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0421>	"Puerto Rican"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0422>	"Kittitian or Nevisian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0423>	"Saint Lucian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0424>	"Saint Vincentian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0425>	"Surinamer"	"exact synonym"
<http://purl.obolibrary.org/obo/HANCESTRO_0425>	"Surinamese"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0426>	"Trinidadian or Tobagonian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0427>	"Turks and Caicos Islander"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0428>	"Virgin Islander"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0429>	"Uruguayan"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0430>	"Venezuelan"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0431>	"Algerian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0432>	"Armenian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0433>	"Azerbaijani"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0434>	"Bahraini"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0435>	"Cypriote"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0436>	"Egyptian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0437>	"Georgian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0438>	"Iranian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0439>	"Iraqi"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0440>	"Israeli"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0441>	"Jordanian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0442>	"Kuwaiti"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0443>	"Lebanese"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0444>	"Libyan"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0445>	"Moroccan"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0446>	"Palestinian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0447>	"Omani"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0448>	"Qatari"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0449>	"Saudi"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0449>	"Saudi Arab"	"exact synonym"
<http://purl.obolibrary.org/obo/HANCESTRO_0450>	"Tunisian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0451>	"Turkish"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0452>	"Emirati"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0453>	"Yemeni"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0454>	"Aruban"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0455>	"Christmas Islander"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0456>	"Cocos Islander"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0457>	"Curacaoan"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0458>	"Kosovar"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0459>	"Northern Mariana Islander"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0460>	"South Sudanese"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0461>	"Syrian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0462>	"British"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0463>	"American"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0464>	"American Samoan"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0465>	"Cook Islander"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0466>	"Fijian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0467>	"French Polynesian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0468>	"Guamanian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0469>	"I-Kiribati"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0470>	"Marshallese"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0471>	"Micronesian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0472>	"Nauruan"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0473>	"New Caledonian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0474>	"Niuean"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0475>	"Palauan"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0476>	"Papua New Guinean"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0477>	"Pitcairn Islander"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0478>	"Samoan"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0479>	"Solomon Islander"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0480>	"Tokelauan"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0481>	"Tongan"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0482>	"Tuvaluan"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0483>	"Ni-Vanuato"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0484>	"Wallis and Futuna Islander"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0485>	"Bangladeshi"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0486>	"Bhutanese"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0487>	"Asian Indian"	"exact synonym"
<http://purl.obolibrary.org/obo/HANCESTRO_0487>	"Indian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0487>	"Indian Asian"	"exact synonym"
<http://purl.obolibrary.org/obo/HANCESTRO_0488>	"Maldivian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0489>	"Nepalese"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0490>	"Pakistani"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0491>	"Sri Lankan"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0492>	"Bruneian"@en	"label"
<http://purl.obolibrary.org/obo/HANCESTRO_0493>	"Cambodian"@en	"label"
