?class	?label	?syn_type
<http://purl.obolibrary.org/obo/CDNO_0100023>	"fucose derived from rhamnogalacturonan derived from pectin"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100024>	"xylose derived from rhamnogalacturonan derived from pectin"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100025>	"arabinose derived from rhamnogalacturonan derived from pectin"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100026>	"galactose derived from rhamnogalacturonan derived from pectin"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100027>	"raffinose derived from raffinose family of oligosaccharide (rfo)"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100028>	"galactose derived from raffinose derived from raffinose family of oligosaccharide (rfo)"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100029>	"glucose derived from raffinose derived from raffinose family of oligosaccharide (rfo)"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100030>	"fructose derived from raffinose derived from raffinose family of oligosaccharide (rfo)"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100031>	"stachyose derived from raffinose family of oligosaccharide (rfo)"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100032>	"galactose derived from stachyose derived from raffinose family of oligosaccharide (rfo)"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100033>	"glucose derived from stachyose derived from raffinose family of oligosaccharide (rfo)"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100034>	"fructose derived from stachyose derived from raffinose family of oligosaccharide (rfo)"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100035>	"verbascose derived from raffinose family of oligosaccharide (rfo)"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100036>	"galactose derived from verbascose derived from raffinose family of oligosaccharide (rfo)"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100037>	"glucose derived from verbascose derived from raffinose family of oligosaccharide (rfo)"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100038>	"fructose derived from verbascose derived from raffinose family of oligosaccharide (rfo)"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100039>	"glucose derived from cellulose"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100040>	"mannose derived from mannan derived from hemicellulose"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100041>	"glucose derived from xylan derived from hemicellulose"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100042>	"xylose derived from xylan derived from hemicellulose"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100043>	"glucose derived from xyloglucan derived from hemicellulose"@en	"label"
